Model,Train R² (mean),Train RMSE (mean),Test R² (mean),Test RMSE (mean)
ekc,0.8551921080252317,0.317180571100808,0.824336100069631,0.2786960037830053
svr,0.9235756585280673,0.21044781449922587,0.9158699416550524,0.17424440477354255
knn,0.9977972433288739,0.0264911477871884,0.9343705141128086,0.159711407078838
dt,0.9806038162887334,0.08714000937910012,0.9288341688640758,0.17699338495175718
xgb,0.992276754752744,0.06727366507039916,0.9498418471313927,0.1507291916233731
cat,0.9938759985994707,0.06373578372780501,0.9513433606258649,0.15560979811641615
rf,0.980154408644459,0.11038241281829275,0.9456888939722472,0.16038489286863555
ann,0.9558214484188402,0.1805068406854785,0.9466002177760228,0.1480691603765243
lstm,0.9118556297983168,0.23121035413357072,0.8764568316834275,0.20769229505448603
